Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 3,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING,,,,,,,DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,AREA :,,,"AL QUOZ FIRST, DUBAI",
PLANNED COMPLETION DATE : 2024,,,,,,,OWNER :,,M/S. INTER EMIRATES MOTORS,,,,,,PLOT :,,,35410013,
LV MDB REF : LV MDB -2,,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION :,,,LV ROOM,
,,,,,,,,,,,,,,,,,,BASEMENT FLOOR,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE(Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HVCT
(3)",
1,INCOMER - 1,4P,"2500
SET @ 0.85",,,50,BY DEWA,,,,2x1C 150,,,,,,,1,2400/5A CTM
2,INCOMER - 2,4P,"2500
SET @ 0.85",,,50,BY GENERATOR SUPPLIER,,,,PROVISION FOR MOBILE GENERATOR WITH ELECTRICAL AND MECHANICAL INTERLOCK,,,,,,,,
,OUTGOING,,(D.O.T),,,,,,,,,,,,,,,,
1,CHILLER-1,TP,,800,,50,XLPE/SWA/PVC,,2x4C 300,,2x1C 150,103.33,103.33,103.33,310,,DUTY CHILLER,,
"2
3","CHILLER-2
CHILLER-3","TP
TP","
","800
800","
","50
50","XLPE/SWA/PVC
XLPE/SWA/PVC","
","2x4C 300
2x4C 300","
","2x1C 150
2x1C 150","103.33
103.33","103.33
103.33","103.33
103.33","310.00
310.00","DUTY CHILLER +STAND BY
CHILLER
WITH E/M INTERLOCK",,,
3,MCC-CHW,TP,,125,,50,XLPE/SWA/PVC,,4C 50,,1C 25,18.5,18.5,18.5,55.5,STAND BY LOAD 17.5KW,,,
4,SMDB-RN,TP,,350,,50,XLPE/SWA/PVC,,4C 240,,1C 120,57.97,57.77,57.47,173.2,,,,
13,AHF PROVISION,TP,,400,,50,,,--,,--,,,,,,,,*
14,CAPACITOR BANK,TP,,1000,,50,XLPE/SWA/PVC,,3x4C 300,,3X1C 150,"350 kVAR CAPACITOR BANK""",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LV MDB -2,CONNECTED TO,,"TRANSFORMER #2
1500KVA",,,TOTAL CONNECTED LOAD PER PHASE,,,,,,386.47,386.27,385.97,1158.7,,,1,TOTAL
,DEMAND FACTOR…1.00… MAX. DEMAND…831.20…kW,,,,,"TOTAL CONNECTED LOAD (3 PHASE)…1,158.70…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…831.20...kW",,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
,,,,,,,,* REFER SINGLE LINE DIAGRAM FOR ELCB RATING,,,,,,,,,,,
