Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 19,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BDUEILTDAIINLSGOF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
SMDBREF :,SMDB-GN2C (CONT'D),,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(4)",
,INCOMER,TP,,"630
(N/A)",,35,XLPE/SWA/PVC,,2x4C 185,,2x1C 95,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
9,BAY AREA,SP,,20,,35,XLPE/SWA/PVC,,2C 4,,1C 4,,,1.5,1.5,,,,*
10,BAY AREA,SP,,20,,35,XLPE/SWA/PVC,,2C 4,,1C 4,1.5,,,1.5,,,,*
10,QUICK SERVICE,SP,,20,,35,XLPE/SWA/PVC,,2C 4,,1C 4,,1.5,,1.5,,,,*
11,CAR WASH,TP,,100,,35,XLPE/SWA/PVC,,4C 35,,1C 16,15.33,15.33,15.33,46,,,,*
12,CAR WASH,TP,,100,,35,XLPE/SWA/PVC,,4C 35,,1C 16,15.33,15.33,15.33,46,,,,*
13,QUICK SERVICE,TP,,63,,35,XLPE/SWA/PVC,,4C 16,,1C 16,6,6,6,18,,,,*
14,DB-MN2,TP,,40,,35,XLPE/SWA/PVC,,4C 10,,1C 10,3.6,3.5,3.4,10.5,,,,*
15,DB-1N2,TP,,40,,35,XLPE/SWA/PVC,,4C 10,,1C 10,0.9,0.8,0.5,2.2,,,,*
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SMDB-GN2C,CONNECTED TO,,LV MDB-1,,,TOTAL CONNECTED LOAD PER PHASE,,,,,,87.67,87.47,85.57,260.7,,,,TOTAL
,DEMAND FACTOR…… MAX. DEMAND…...…kW TOTAL CONNECTED LOAD (3 PHASE)…260.70…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…...kW,,,,,,,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
