Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 7,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
SMDB REF :,SMDB - BE1,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(4)",
,INCOMER,TP,,"225
(N/A)",,35,FIRE PROOF,,4C 120,,1C 70,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
1,DB-BE1,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,5.3,4.2,4.3,13.8,,,,*
2,CPEF,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,5.33,5.33,5.33,16,,,,*
3,GEF,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,5.5,5.5,5.5,16.5,,,,*
4,GMF,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,5.5,5.5,5.5,16.5,,,,*
5,SEWAGE LIFT STAIOION -1,TP,,32,,35,XLPE/SWA/PVC,,4C 6,,1C 6,0.5,0.5,0.5,1.5,,,,*
6,TMF,TP,,32,,35,FIRE PROOF,,4C 6,,1C 6,2.33,2.33,2.33,7,,,,*
7,TMF,TP,,32,,35,FIRE PROOF,,4C 6,,1C 6,2.33,2.33,2.33,7,,,,*
8,TEF,TP,,32,,35,FIRE PROOF,,4C 6,,1C 6,2.33,2.33,2.33,7,,,,*
9,TEF,TP,,32,,35,FIRE PROOF,,4C 6,,1C 6,2.33,2.33,2.33,7,,,,*
10,SUMP PUMP,TP,,20,,35,XLPE/SWA/PVC,,4C 4,,1C 4,0.5,0.5,0.5,1.5,,,,*
11,JOCKEY PUMP,TP,,32,,35,FIRE PROOF,,4C 6,,1C 6,2.17,2.17,2.17,6.5,,,,*
12,FIRE CIRCULATION PUMP,TP,,20,,35,FIRE PROOF,,4C 4,,1C 4,1.83,1.83,1.83,5.5,,,,*
,,,,,,,,,,,,,,,,,,CONT'D…,
