Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 11,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
SMDB REF :,SMDB - GN1,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
,,,,,,,,,,,,,,,,,,GROUND FLOOR,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(3)",
,INCOMER,TP,,"350
(N/A)",,30,XLPE/SWA/PVC,,4C 240,,1C 120,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
1,DB-GN1,TP,,100,,30,XLPE/SWA/PVC,,4C 35,,1C 16,15.5,15.1,13.2,43.8,,,,*
2,DB-MN1,TP,,63,,30,XLPE/SWA/PVC,,4C 16,,1C 16,8.3,10.2,11.3,29.8,,,,*
3,SPARE,TP,,100,,30,--,,--,,--,15,15,15,45,,,,
4,GARBAGE ROOM EQUIPMENT,TP,,20,,30,XLPE/SWA/PVC,,4C 4,,1C 4,1,1,1,3,,,,*
5,EV CHARGING,TP,,63,,30,XLPE/SWA/PVC,,4C 16,,1C 16,7.33,7.33,7.33,22,,,,*
6,QUICK SERVICE,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,6,6,6,18,,,,*
7,QUICK SERVICE,SP,,32,,30,XLPE/SWA/PVC,,2C 6,,1C 6,2.2,,,2.2,,,,*
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SMDB - GN1,CONNECTED TO,,LV MDB-1,,,TOTAL CONNECTED LOAD PER PHASE,,,,,,55.33,54.63,53.83,163.8,,,,TOTAL
,DEMAND FACTOR…… MAX. DEMAND…...…kW TOTAL CONNECTED LOAD (3 PHASE)…163.80…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…...kW,,,,,,,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
,,,* REFER SINGLE LINE DIAGRAM FOR ELCB RATING,,,,,,,,,,,,,,,,
