Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 2,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING,,,,,,,DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,AREA :,,,"AL QUOZ FIRST, DUBAI",
PLANNED COMPLETION DATE : 2024,,,,,,,OWNER :,,M/S. INTER EMIRATES MOTORS,,,,,,PLOT :,,,35410013,
LV MDB REF : LV MDB -1,,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION :,,,LV ROOM,
,,,,,,,,,,,,,,,,,,BASEMENT FLOOR,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE(Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HVCT
(3)",
1,INCOMER - 1,4P,"2500
SET @ 0.85",,,50,BY DEWA,,,,2x1C 150,,,,,,,1,2400/5A CTM
2,INCOMER - 2,4P,"2500
SET @ 0.85",,,50,BY GENERATOR SUPPLIER,,,,PROVISION FOR MOBILE GENERATOR WITH ELECTRICAL AND MECHANICAL INTERLOCK,,,,,,,,
,OUTGOING,,(D.O.T),,,,,,,,,,,,,,,,
1,MDB-E1,TP,,800,,50,FIRE PROOF,,2x4C 300,,2x1C 150,132.77,130.67,125.17,388.6,550 KVA GENERATOR,,,
2,FIRE PUMP,TP,,320,,50,FIRE PROOF,,4C 185,,1C 95,42,42,42,126,,,,*
3,SMDB-BN,TP,,500,,50,XLPE/SWA/PVC,,2x4C 150,,2x1C 70,76.9,74.3,73.7,224.9,,,,
4,SMDB-GN1,TP,,350,,50,XLPE/SWA/PVC,,4C 240,,1C 120,55.33,54.63,53.83,163.8,,,,
5,SMDB-GN2A,TP,,630,,50,XLPE/SWA/PVC,,2x4C 185,,2x1C 95,88.23,84.73,85.03,258,,,,
6,SMDB-GN2B,TP,,500,,50,XLPE/SWA/PVC,,2x4C 150,,2x1C 70,78,78,78,234,,,,
7,SMDB-GN2C,TP,,630,,50,XLPE/SWA/PVC,,2x4C 185,,2x1C 95,87.67,87.47,85.57,260.7,,,,
8,SMDB-1N1,TP,,400,,50,XLPE/SWA/PVC,,4C 300,,1C 150,62.1,57.8,60.6,180.5,,,,
9,DB-RMU,SP,,40,,50,XLPE/SWA/PVC,,2C 10,,1C 10,1.8,,,1.8,,,,*
9,DB-TR,SP,,40,,50,XLPE/SWA/PVC,,2C 10,,1C 10,,2,,2,,,,*
10,AHF PROVISION,TP,,400,,50,,,--,,--,,,,,,,,*
11,CAPACITOR BANK,TP,,1000,,50,XLPE/SWA/PVC,,3x4C 300,,3X1C 150,"350 kVAR CAPACITOR BANK""",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LV MDB -1,CONNECTED TO,,"TRANSFORMER #1
1500KVA",,,TOTAL CONNECTED LOAD PER PHASE,,,,,,624.8,611.6,603.9,1840.3,,,1,TOTAL
,"DEMAND FACTOR…0.70… MAX. DEMAND…1,200.01…kW TOTAL CONNECTED LOAD (3 PHASE)…1,840.30…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…1,714.30...kW",,,,,,,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
,,,,,,,,* REFER SINGLE LINE DIAGRAM FOR ELCB RATING,,,,,,,,,,,
