Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 6,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
SMDB REF :,SMDB - BN,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
,,,,,,,,,,,,,,,,,,BASEMENT,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(3)",
,INCOMER,TP,,"500
(N/A)",,30,XLPE/SWA/PVC,,2x4C 150,,1C 150,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
1,DB-BN1,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,3.7,3,2.4,9.1,,,,*
2,DB-BN2,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,5.2,3.3,3.3,11.8,,,,*
3,POLISHING BAY,TP,,80,,30,XLPE/SWA/PVC,,4C 25,,1C 16,12,12,12,36,,,,*
4,POLISHING BAY,TP,,80,,30,XLPE/SWA/PVC,,4C 25,,1C 16,12,12,12,36,,,,*
5,USED OIL PUMP,TP,,40,,30,XLPE/SWA/PVC,,4C 10,,1C 10,2,2,2,6,,,,*
6,COMPRESSOR ROOM,TP,,80,,30,XLPE/SWA/PVC,,4C 25,,1C 16,11,11,11,33,,,,*
7,CAR WASH,TP,,80,,30,XLPE/SWA/PVC,,4C 25,,1C 16,11,11,11,33,,,,*
8,CAR WASH,TP,,80,,30,XLPE/SWA/PVC,,4C 25,,1C 16,11,11,11,33,,,,*
9,SPARE,TP,,63,,30,--,,--,,--,9,9,9,27,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SMDB - BN,CONNECTED TO,,LV MDB-1,,,TOTAL CONNECTED LOAD PER PHASE,,,,,,76.9,74.3,73.7,224.9,,,,TOTAL
,DEMAND FACTOR…… MAX. DEMAND…...…kW TOTAL CONNECTED LOAD (3 PHASE)…224.90…kW TOTAL BUILD - UP AREA ......... ACTUAL LOAD (3 PH)…...kW,,,,,,,,,,,,,,,,,,
,CONSULTANTS : M/S. IAN BANHAM AND ASSOCIATES,,,,,,,,,,TEL : 04 - 370 5777,,,,FAX : 04 - 370 5888,,,,
,Type of Meter (Rating of Incomer) :,,,,(1) UPTO 60A,,,(2) UPTO 125A,,,(3) LV CT,……….../………...,,,HV CT ……….../………...A,,,,
,,,,,(1 PHASE),,,(3 PHASE),,,,,,,,,,,
,,,* REFER SINGLE LINE DIAGRAM FOR ELCB RATING,,,,,,,,,,,,,,,,
