Evaluation Only. Created with Aspose.PDF. Copyright 2002-2024 Aspose Pty Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PAGE - SCH - 12,,,,,,,,,,,,,,,,,,,
IAN BANHAM & ASSOCIATES,ELECTRICAL,,,,,,,,,,,,,,,,,,
PROJECT :,B+G+M+1 FLOOR CAR SHOWROOM & OFFICE BUILDING DETAILS OF CONNECTED LOAD/MAX. DEMAND,,,,,,,,,,,,,,,,,,
SMDBREF :,SMDB-GE1,,,,,,CONSULTANT :,,M/S. IAN BANHAM & ASSOCIATES,,,,,,LOCATION : ELECT ROOM,,,,
SR.,CIRCUIT,SP/,RATING - AMPS,,,FAULT,PVC/XLPE,CABLE SIZE,,LENGTH,ECC,CONNECTED LOAD - KW,,,,KWH METER,,,REMARKS
NO,"FEEDER
DB NO.",TP,ACB,MCCB,MCB,"DUTY
KA",SWA/PVC/SC,"2/4x1C
mm²","2/3/4C
mm²","OF
CABLE (Mtrs)","SIZE -1C
mm²","R-PHASE
kW","Y-PHASE
kW","B-PHASE
kW","TOTAL
kW","1 Ph
(1)","3 Ph
(2)","LV/HV CT
(4)",
,INCOMER,TP,,"250
(N/A)",,35,FIRE PROOF,,4C 150,,1C 70,,,,,,,,
,OUTGOING,,,,,,,,,,,,,,,,,,
1,DB-GE1,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,4.3,3.7,2.1,10.1,,,,*
2,DB-GE2,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,4,3.4,2.6,10,,,,*
3,DB-ME1,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,2.8,2.7,2.9,8.4,,,,*
4,DB-ME2,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,2.8,3,3.2,9,,,,*
5,DB-1E1,TP,,40,GE,35,FIRE PROOF,,4C 10,,1C 10,4.4,3.7,4.1,12.2,,,,*
6,DB-1E2,TP,,40,,35,FIRE PROOF,,4C 10,,1C 10,1.6,1.6,0.5,3.7,,,,*
7,LIFT-1,TP,,63,,35,FIRE PROOF,,4C 16,,1C 16,5,5,5,15,,,,*
8,LIFT-2,TP,,63,,35,FIRE PROOF,,4C 16,,1C 16,5,5,5,15,,,,*
9,PANORAMIC LIFT,TP,,63,,35,FIRE PROOF,,4C 16,,1C 16,5,5,5,15,,,,*
10,LIFT-1 CONTROL,SP,,20,,35,FIRE PROOF,,2C 4,,1C 4,0.5,,,0.5,,,,*
10,LIFT-2 CONTROL,SP,,20,,35,FIRE PROOF,,2C 4,,1C 4,,0.5,,0.5,,,,*
10,PANORAMIC LIFT CONTROL,SP,,20,,35,FIRE PROOF,,2C 4,,1C 4,,,0.5,0.5,,,,*
,,,,,,,,,,,,,,,,,,CONT'D…,
